new_label,source,original_label,original_name
143,cortical,143,7Networks_LH_SomMot_62
144,cortical,144,7Networks_LH_SomMot_63
145,cortical,145,7Networks_LH_SomMot_64
146,cortical,146,7Networks_LH_SomMot_65
147,cortical,147,7Networks_LH_SomMot_66
148,cortical,148,7Networks_LH_SomMot_67
149,cortical,149,7Networks_LH_SomMot_68
150,cortical,150,7Networks_LH_SomMot_69
151,cortical,151,7Networks_LH_SomMot_70
152,cortical,152,7Networks_LH_SomMot_71
153,cortical,153,7Networks_LH_SomMot_72
154,cortical,154,7Networks_LH_SomMot_73
155,cortical,155,7Networks_LH_SomMot_74
156,cortical,156,7Networks_LH_SomMot_75
157,cortical,157,7Networks_LH_SomMot_76
158,cortical,158,7Networks_LH_SomMot_77
159,cortical,159,7Networks_LH_SomMot_78
160,cortical,160,7Networks_LH_SomMot_79
161,cortical,161,7Networks_LH_SomMot_80
162,cortical,162,7Networks_LH_SomMot_81
163,cortical,163,7Networks_LH_SomMot_82
164,cortical,164,7Networks_LH_SomMot_83
165,cortical,165,7Networks_LH_SomMot_84
166,cortical,166,7Networks_LH_SomMot_85
167,cortical,167,7Networks_LH_SomMot_86
168,cortical,168,7Networks_LH_SomMot_87
169,cortical,169,7Networks_LH_SomMot_88
170,cortical,170,7Networks_LH_SomMot_89
171,cortical,171,7Networks_LH_SomMot_90
172,cortical,172,7Networks_LH_SomMot_91
173,cortical,173,7Networks_LH_DorsAttn_Post_1
174,cortical,174,7Networks_LH_DorsAttn_Post_2
175,cortical,175,7Networks_LH_DorsAttn_Post_3
176,cortical,176,7Networks_LH_DorsAttn_Post_4
177,cortical,177,7Networks_LH_DorsAttn_Post_5
178,cortical,178,7Networks_LH_DorsAttn_Post_6
179,cortical,179,7Networks_LH_DorsAttn_Post_7
180,cortical,180,7Networks_LH_DorsAttn_Post_8
181,cortical,181,7Networks_LH_DorsAttn_Post_9
182,cortical,182,7Networks_LH_DorsAttn_Post_10
183,cortical,183,7Networks_LH_DorsAttn_Post_11
184,cortical,184,7Networks_LH_DorsAttn_Post_12
185,cortical,185,7Networks_LH_DorsAttn_Post_13
186,cortical,186,7Networks_LH_DorsAttn_Post_14
187,cortical,187,7Networks_LH_DorsAttn_Post_15
188,cortical,188,7Networks_LH_DorsAttn_Post_16
189,cortical,189,7Networks_LH_DorsAttn_Post_17
190,cortical,190,7Networks_LH_DorsAttn_Post_18
191,cortical,191,7Networks_LH_DorsAttn_Post_19
192,cortical,192,7Networks_LH_DorsAttn_Post_20
193,cortical,193,7Networks_LH_DorsAttn_Post_21
194,cortical,194,7Networks_LH_DorsAttn_Post_22
